Source,Production,dayOfYear,month_number,Hour,month_sinhalf,hour_sinhalf
1,3549.0,1,1,0,0.0,0.0
0,0.0,1,1,0,0.0,0.0
0,0.0,1,1,1,0.25881904510252074,0.1361666490962466
1,2952.0,1,1,1,0.25881904510252074,0.1361666490962466
0,0.0,1,1,2,0.49999999999999994,0.2697967711570243
1,2722.0,1,1,2,0.49999999999999994,0.2697967711570243
1,2753.0,1,1,3,0.7071067811865476,0.39840108984624145
0,0.0,1,1,3,0.7071067811865476,0.39840108984624145
1,2707.0,1,1,4,0.8660254037844386,0.5195839500354336
0,0.0,1,1,4,0.8660254037844386,0.5195839500354336
0,0.0,1,1,5,0.9659258262890683,0.6310879443260529
1,2579.0,1,1,5,0.9659258262890683,0.6310879443260529
1,2320.0,1,1,6,1.0,0.730835964278124
0,0.0,1,1,6,1.0,0.730835964278124
1,2064.0,1,1,7,0.9659258262890683,0.816969893010442
0,0.0,1,1,7,0.9659258262890683,0.816969893010442
1,1803.0,1,1,8,0.8660254037844387,0.8878852184023752
0,28.0,1,1,8,0.8660254037844387,0.8878852184023752
1,1623.0,1,1,9,0.7071067811865476,0.9422609221188204
0,310.0,1,1,9,0.7071067811865476,0.9422609221188204
0,780.0,1,1,10,0.49999999999999994,0.9790840876823229
1,1505.0,1,1,10,0.49999999999999994,0.9790840876823229
1,1437.0,1,1,11,0.258819045102521,0.9976687691905392
0,1166.0,1,1,11,0.258819045102521,0.9976687691905392
1,1178.0,1,1,12,1.2246467991473532e-16,0.9976687691905392
0,1359.0,1,1,12,1.2246467991473532e-16,0.9976687691905392
0,1339.0,1,1,13,-0.2588190451025208,0.9790840876823229
1,857.0,1,1,13,-0.2588190451025208,0.9790840876823229
0,1064.0,1,1,14,-0.4999999999999997,0.9422609221188205
1,740.0,1,1,14,-0.4999999999999997,0.9422609221188205
1,763.0,1,1,15,-0.7071067811865471,0.8878852184023752
0,592.0,1,1,15,-0.7071067811865471,0.8878852184023752
1,853.0,1,1,16,-0.8660254037844385,0.8169698930104421
0,164.0,1,1,16,-0.8660254037844385,0.8169698930104421
0,16.0,1,1,17,-0.9659258262890683,0.7308359642781239
1,932.0,1,1,17,-0.9659258262890683,0.7308359642781239
1,1072.0,1,1,18,-1.0,0.631087944326053
0,3.0,1,1,18,-1.0,0.631087944326053
1,1180.0,1,1,19,-0.9659258262890684,0.5195839500354339
0,0.0,1,1,19,-0.9659258262890684,0.5195839500354339
0,0.0,1,1,20,-0.8660254037844386,0.3984010898462414
1,1263.0,1,1,20,-0.8660254037844386,0.3984010898462414
0,0.0,1,1,21,-0.7071067811865477,0.2697967711570243
1,1227.0,1,1,21,-0.7071067811865477,0.2697967711570243
1,1169.0,1,1,22,-0.5000000000000004,0.1361666490962471
0,0.0,1,1,22,-0.5000000000000004,0.1361666490962471
1,1184.0,1,1,23,-0.25881904510252157,1.2246467991473532e-16
0,0.0,1,1,23,-0.25881904510252157,1.2246467991473532e-16
0,0.0,2,1,0,0.0,0.0
1,1262.0,2,1,0,0.0,0.0
0,0.0,2,1,1,0.25881904510252074,0.1361666490962466
1,1375.0,2,1,1,0.25881904510252074,0.1361666490962466
1,1439.0,2,1,2,0.49999999999999994,0.2697967711570243
0,0.0,2,1,2,0.49999999999999994,0.2697967711570243
1,1561.0,2,1,3,0.7071067811865476,0.39840108984624145
0,0.0,2,1,3,0.7071067811865476,0.39840108984624145
0,0.0,2,1,4,0.8660254037844386,0.5195839500354336
1,1608.0,2,1,4,0.8660254037844386,0.5195839500354336
1,1769.0,2,1,5,0.9659258262890683,0.6310879443260529
0,0.0,2,1,5,0.9659258262890683,0.6310879443260529
1,1898.0,2,1,6,1.0,0.730835964278124
0,0.0,2,1,6,1.0,0.730835964278124
0,0.0,2,1,7,0.9659258262890683,0.816969893010442
1,2087.0,2,1,7,0.9659258262890683,0.816969893010442
0,13.0,2,1,8,0.8660254037844387,0.8878852184023752
1,2251.0,2,1,8,0.8660254037844387,0.8878852184023752
0,272.0,2,1,9,0.7071067811865476,0.9422609221188204
1,2507.0,2,1,9,0.7071067811865476,0.9422609221188204
1,2666.0,2,1,10,0.49999999999999994,0.9790840876823229
0,790.0,2,1,10,0.49999999999999994,0.9790840876823229
1,2791.0,2,1,11,0.258819045102521,0.9976687691905392
0,1050.0,2,1,11,0.258819045102521,0.9976687691905392
0,1269.0,2,1,12,1.2246467991473532e-16,0.9976687691905392
1,2897.0,2,1,12,1.2246467991473532e-16,0.9976687691905392
1,2981.0,2,1,13,-0.2588190451025208,0.9790840876823229
0,1166.0,2,1,13,-0.2588190451025208,0.9790840876823229
1,3200.0,2,1,14,-0.4999999999999997,0.9422609221188205
0,948.0,2,1,14,-0.4999999999999997,0.9422609221188205
1,3511.0,2,1,15,-0.7071067811865471,0.8878852184023752
0,586.0,2,1,15,-0.7071067811865471,0.8878852184023752
1,4069.0,2,1,16,-0.8660254037844385,0.8169698930104421
0,233.0,2,1,16,-0.8660254037844385,0.8169698930104421
1,4715.0,2,1,17,-0.9659258262890683,0.7308359642781239
0,19.0,2,1,17,-0.9659258262890683,0.7308359642781239
1,5321.0,2,1,18,-1.0,0.631087944326053
0,3.0,2,1,18,-1.0,0.631087944326053
1,5975.0,2,1,19,-0.9659258262890684,0.5195839500354339
0,0.0,2,1,19,-0.9659258262890684,0.5195839500354339
1,6547.0,2,1,20,-0.8660254037844386,0.3984010898462414
0,0.0,2,1,20,-0.8660254037844386,0.3984010898462414
1,6818.0,2,1,21,-0.7071067811865477,0.2697967711570243
0,0.0,2,1,21,-0.7071067811865477,0.2697967711570243
0,0.0,2,1,22,-0.5000000000000004,0.1361666490962471
1,6783.0,2,1,22,-0.5000000000000004,0.1361666490962471
0,0.0,2,1,23,-0.25881904510252157,1.2246467991473532e-16
1,6857.0,2,1,23,-0.25881904510252157,1.2246467991473532e-16
1,7204.0,3,1,0,0.0,0.0
0,0.0,3,1,0,0.0,0.0
0,0.0,3,1,1,0.25881904510252074,0.1361666490962466
1,7385.0,3,1,1,0.25881904510252074,0.1361666490962466
0,0.0,3,1,2,0.49999999999999994,0.2697967711570243
1,7533.0,3,1,2,0.49999999999999994,0.2697967711570243
0,0.0,3,1,3,0.7071067811865476,0.39840108984624145
1,7815.0,3,1,3,0.7071067811865476,0.39840108984624145
1,8289.0,3,1,4,0.8660254037844386,0.5195839500354336
0,0.0,3,1,4,0.8660254037844386,0.5195839500354336
0,0.0,3,1,5,0.9659258262890683,0.6310879443260529
1,8565.0,3,1,5,0.9659258262890683,0.6310879443260529
1,8797.0,3,1,6,1.0,0.730835964278124
0,0.0,3,1,6,1.0,0.730835964278124
1,9151.0,3,1,7,0.9659258262890683,0.816969893010442
0,0.0,3,1,7,0.9659258262890683,0.816969893010442
0,18.0,3,1,8,0.8660254037844387,0.8878852184023752
1,9168.0,3,1,8,0.8660254037844387,0.8878852184023752
1,8774.0,3,1,9,0.7071067811865476,0.9422609221188204
0,218.0,3,1,9,0.7071067811865476,0.9422609221188204
1,8607.0,3,1,10,0.49999999999999994,0.9790840876823229
0,577.0,3,1,10,0.49999999999999994,0.9790840876823229
0,832.0,3,1,11,0.258819045102521,0.9976687691905392
1,8658.0,3,1,11,0.258819045102521,0.9976687691905392
1,8895.0,3,1,12,1.2246467991473532e-16,0.9976687691905392
0,1013.0,3,1,12,1.2246467991473532e-16,0.9976687691905392
1,8740.0,3,1,13,-0.2588190451025208,0.9790840876823229
0,958.0,3,1,13,-0.2588190451025208,0.9790840876823229
0,757.0,3,1,14,-0.4999999999999997,0.9422609221188205
1,8152.0,3,1,14,-0.4999999999999997,0.9422609221188205
1,7325.0,3,1,15,-0.7071067811865471,0.8878852184023752
0,459.0,3,1,15,-0.7071067811865471,0.8878852184023752
0,185.0,3,1,16,-0.8660254037844385,0.8169698930104421
1,6364.0,3,1,16,-0.8660254037844385,0.8169698930104421
0,17.0,3,1,17,-0.9659258262890683,0.7308359642781239
1,6009.0,3,1,17,-0.9659258262890683,0.7308359642781239
1,5905.0,3,1,18,-1.0,0.631087944326053
0,2.0,3,1,18,-1.0,0.631087944326053
1,5501.0,3,1,19,-0.9659258262890684,0.5195839500354339
0,0.0,3,1,19,-0.9659258262890684,0.5195839500354339
1,4962.0,3,1,20,-0.8660254037844386,0.3984010898462414
0,0.0,3,1,20,-0.8660254037844386,0.3984010898462414
1,4557.0,3,1,21,-0.7071067811865477,0.2697967711570243
0,0.0,3,1,21,-0.7071067811865477,0.2697967711570243
0,0.0,3,1,22,-0.5000000000000004,0.1361666490962471
1,4223.0,3,1,22,-0.5000000000000004,0.1361666490962471
1,3810.0,3,1,23,-0.25881904510252157,1.2246467991473532e-16
0,0.0,3,1,23,-0.25881904510252157,1.2246467991473532e-16
0,0.0,4,1,0,0.0,0.0
1,3453.0,4,1,0,0.0,0.0
0,0.0,4,1,1,0.25881904510252074,0.1361666490962466
1,3400.0,4,1,1,0.25881904510252074,0.1361666490962466
1,3379.0,4,1,2,0.49999999999999994,0.2697967711570243
0,0.0,4,1,2,0.49999999999999994,0.2697967711570243
1,3229.0,4,1,3,0.7071067811865476,0.39840108984624145
0,0.0,4,1,3,0.7071067811865476,0.39840108984624145
1,3275.0,4,1,4,0.8660254037844386,0.5195839500354336
0,0.0,4,1,4,0.8660254037844386,0.5195839500354336
0,0.0,4,1,5,0.9659258262890683,0.6310879443260529
1,3139.0,4,1,5,0.9659258262890683,0.6310879443260529
1,3239.0,4,1,6,1.0,0.730835964278124
0,0.0,4,1,6,1.0,0.730835964278124
0,0.0,4,1,7,0.9659258262890683,0.816969893010442
1,3251.0,4,1,7,0.9659258262890683,0.816969893010442
1,3303.0,4,1,8,0.8660254037844387,0.8878852184023752
0,28.0,4,1,8,0.8660254037844387,0.8878852184023752
0,320.0,4,1,9,0.7071067811865476,0.9422609221188204
1,3524.0,4,1,9,0.7071067811865476,0.9422609221188204
1,3645.0,4,1,10,0.49999999999999994,0.9790840876823229
0,794.0,4,1,10,0.49999999999999994,0.9790840876823229
1,3530.0,4,1,11,0.258819045102521,0.9976687691905392
0,1213.0,4,1,11,0.258819045102521,0.9976687691905392
0,1485.0,4,1,12,1.2246467991473532e-16,0.9976687691905392
1,3509.0,4,1,12,1.2246467991473532e-16,0.9976687691905392
1,3837.0,4,1,13,-0.2588190451025208,0.9790840876823229
0,1481.0,4,1,13,-0.2588190451025208,0.9790840876823229
1,3871.0,4,1,14,-0.4999999999999997,0.9422609221188205
0,1350.0,4,1,14,-0.4999999999999997,0.9422609221188205
0,905.0,4,1,15,-0.7071067811865471,0.8878852184023752
1,3606.0,4,1,15,-0.7071067811865471,0.8878852184023752
0,345.0,4,1,16,-0.8660254037844385,0.8169698930104421
1,3095.0,4,1,16,-0.8660254037844385,0.8169698930104421
1,3009.0,4,1,17,-0.9659258262890683,0.7308359642781239
0,29.0,4,1,17,-0.9659258262890683,0.7308359642781239
0,4.0,4,1,18,-1.0,0.631087944326053
1,2979.0,4,1,18,-1.0,0.631087944326053
0,1.0,4,1,19,-0.9659258262890684,0.5195839500354339
1,2970.0,4,1,19,-0.9659258262890684,0.5195839500354339
0,1.0,4,1,20,-0.8660254037844386,0.3984010898462414
1,2816.0,4,1,20,-0.8660254037844386,0.3984010898462414
0,1.0,4,1,21,-0.7071067811865477,0.2697967711570243
1,2544.0,4,1,21,-0.7071067811865477,0.2697967711570243
1,2145.0,4,1,22,-0.5000000000000004,0.1361666490962471
0,0.0,4,1,22,-0.5000000000000004,0.1361666490962471
1,1938.0,4,1,23,-0.25881904510252157,1.2246467991473532e-16
0,0.0,4,1,23,-0.25881904510252157,1.2246467991473532e-16
1,1741.0,5,1,0,0.0,0.0
0,0.0,5,1,0,0.0,0.0
1,1694.0,5,1,1,0.25881904510252074,0.1361666490962466
0,0.0,5,1,1,0.25881904510252074,0.1361666490962466
1,1655.0,5,1,2,0.49999999999999994,0.2697967711570243
0,0.0,5,1,2,0.49999999999999994,0.2697967711570243
1,1654.0,5,1,3,0.7071067811865476,0.39840108984624145
0,0.0,5,1,3,0.7071067811865476,0.39840108984624145
0,0.0,5,1,4,0.8660254037844386,0.5195839500354336
1,1717.0,5,1,4,0.8660254037844386,0.5195839500354336
1,1657.0,5,1,5,0.9659258262890683,0.6310879443260529
0,0.0,5,1,5,0.9659258262890683,0.6310879443260529
0,0.0,5,1,6,1.0,0.730835964278124
