Production,dayOfYear,month_number,Hour,hour_sinhalf
3549.0,1,1,0,0.0
2952.0,1,1,1,0.1361666490962466
2722.0,1,1,2,0.2697967711570243
2753.0,1,1,3,0.39840108984624145
2707.0,1,1,4,0.5195839500354336
2579.0,1,1,5,0.6310879443260529
2320.0,1,1,6,0.730835964278124
2064.0,1,1,7,0.816969893010442
1803.0,1,1,8,0.8878852184023752
1623.0,1,1,9,0.9422609221188204
1505.0,1,1,10,0.9790840876823229
1437.0,1,1,11,0.9976687691905392
1178.0,1,1,12,0.9976687691905392
857.0,1,1,13,0.9790840876823229
740.0,1,1,14,0.9422609221188205
763.0,1,1,15,0.8878852184023752
853.0,1,1,16,0.8169698930104421
932.0,1,1,17,0.7308359642781239
1072.0,1,1,18,0.631087944326053
1180.0,1,1,19,0.5195839500354339
1263.0,1,1,20,0.3984010898462414
1227.0,1,1,21,0.2697967711570243
1169.0,1,1,22,0.1361666490962471
1184.0,1,1,23,1.2246467991473532e-16
1262.0,2,1,0,0.0
1375.0,2,1,1,0.1361666490962466
1439.0,2,1,2,0.2697967711570243
1561.0,2,1,3,0.39840108984624145
1608.0,2,1,4,0.5195839500354336
1769.0,2,1,5,0.6310879443260529
1898.0,2,1,6,0.730835964278124
2087.0,2,1,7,0.816969893010442
2251.0,2,1,8,0.8878852184023752
2507.0,2,1,9,0.9422609221188204
2666.0,2,1,10,0.9790840876823229
2791.0,2,1,11,0.9976687691905392
2897.0,2,1,12,0.9976687691905392
2981.0,2,1,13,0.9790840876823229
3200.0,2,1,14,0.9422609221188205
3511.0,2,1,15,0.8878852184023752
4069.0,2,1,16,0.8169698930104421
4715.0,2,1,17,0.7308359642781239
5321.0,2,1,18,0.631087944326053
5975.0,2,1,19,0.5195839500354339
6547.0,2,1,20,0.3984010898462414
6818.0,2,1,21,0.2697967711570243
6783.0,2,1,22,0.1361666490962471
6857.0,2,1,23,1.2246467991473532e-16
7204.0,3,1,0,0.0
7385.0,3,1,1,0.1361666490962466
7533.0,3,1,2,0.2697967711570243
7815.0,3,1,3,0.39840108984624145
8289.0,3,1,4,0.5195839500354336
8565.0,3,1,5,0.6310879443260529
8797.0,3,1,6,0.730835964278124
9151.0,3,1,7,0.816969893010442
9168.0,3,1,8,0.8878852184023752
8774.0,3,1,9,0.9422609221188204
8607.0,3,1,10,0.9790840876823229
8658.0,3,1,11,0.9976687691905392
8895.0,3,1,12,0.9976687691905392
8740.0,3,1,13,0.9790840876823229
8152.0,3,1,14,0.9422609221188205
7325.0,3,1,15,0.8878852184023752
6364.0,3,1,16,0.8169698930104421
6009.0,3,1,17,0.7308359642781239
5905.0,3,1,18,0.631087944326053
5501.0,3,1,19,0.5195839500354339
4962.0,3,1,20,0.3984010898462414
4557.0,3,1,21,0.2697967711570243
4223.0,3,1,22,0.1361666490962471
3810.0,3,1,23,1.2246467991473532e-16
3453.0,4,1,0,0.0
3400.0,4,1,1,0.1361666490962466
3379.0,4,1,2,0.2697967711570243
3229.0,4,1,3,0.39840108984624145
3275.0,4,1,4,0.5195839500354336
3139.0,4,1,5,0.6310879443260529
3239.0,4,1,6,0.730835964278124
3251.0,4,1,7,0.816969893010442
3303.0,4,1,8,0.8878852184023752
3524.0,4,1,9,0.9422609221188204
3645.0,4,1,10,0.9790840876823229
3530.0,4,1,11,0.9976687691905392
3509.0,4,1,12,0.9976687691905392
3837.0,4,1,13,0.9790840876823229
3871.0,4,1,14,0.9422609221188205
3606.0,4,1,15,0.8878852184023752
3095.0,4,1,16,0.8169698930104421
3009.0,4,1,17,0.7308359642781239
2979.0,4,1,18,0.631087944326053
2970.0,4,1,19,0.5195839500354339
2816.0,4,1,20,0.3984010898462414
2544.0,4,1,21,0.2697967711570243
2145.0,4,1,22,0.1361666490962471
1938.0,4,1,23,1.2246467991473532e-16
1741.0,5,1,0,0.0
1694.0,5,1,1,0.1361666490962466
1655.0,5,1,2,0.2697967711570243
1654.0,5,1,3,0.39840108984624145
1717.0,5,1,4,0.5195839500354336
1657.0,5,1,5,0.6310879443260529
1592.0,5,1,6,0.730835964278124
1625.0,5,1,7,0.816969893010442
1674.0,5,1,8,0.8878852184023752
1742.0,5,1,9,0.9422609221188204
1730.0,5,1,10,0.9790840876823229
1423.0,5,1,11,0.9976687691905392
1224.0,5,1,12,0.9976687691905392
1155.0,5,1,13,0.9790840876823229
1137.0,5,1,14,0.9422609221188205
1080.0,5,1,15,0.8878852184023752
979.0,5,1,16,0.8169698930104421
1153.0,5,1,17,0.7308359642781239
1544.0,5,1,18,0.631087944326053
1777.0,5,1,19,0.5195839500354339
1867.0,5,1,20,0.3984010898462414
1937.0,5,1,21,0.2697967711570243
2038.0,5,1,22,0.1361666490962471
2125.0,5,1,23,1.2246467991473532e-16
2270.0,6,1,0,0.0
2383.0,6,1,1,0.1361666490962466
2405.0,6,1,2,0.2697967711570243
2370.0,6,1,3,0.39840108984624145
2432.0,6,1,4,0.5195839500354336
2725.0,6,1,5,0.6310879443260529
3131.0,6,1,6,0.730835964278124
3619.0,6,1,7,0.816969893010442
4316.0,6,1,8,0.8878852184023752
5005.0,6,1,9,0.9422609221188204
